PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Alcorta, A; Porta, A; Tarrega, A; Alvarez, MD; Vaquero, MP				Alcorta, Alexandra; Porta, Adria; Tarrega, Amparo; Dolores Alvarez, Maria; Pilar Vaquero, M.			Foods for Plant-Based Diets: Challenges and Innovations	FOODS				Review									[Alcorta, Alexandra; Porta, Adria; Dolores Alvarez, Maria; Pilar Vaquero, M.] Inst Ciencia & Tecnol Alimentos & Nutr ICTAN CSIC, Madrid 28040, Spain; [Tarrega, Amparo] Inst Agroquim & Tecnol Alimentos IATA CSIC, Paterna 46980, Spain		Vaquero, MP (通讯作者)，Inst Ciencia & Tecnol Alimentos & Nutr ICTAN CSIC, Madrid 28040, Spain.	a.alcorta@ictan.csic.es; a.porta@ictan.csic.es; atarrega@iata.csic.es; mayoyes@ictan.csic.es; mpvaquero@ictan.csic.es								58	60											FEB	2021	10	2							293	10.3390/foods10020293	http://dx.doi.org/10.3390/foods10020293													
J	Yang, G; Ye, QH; Xia, J				Yang, Guang; Ye, Qinghao; Xia, Jun			Unbox the black-box for the medical explainable AI via multi-modal and multi-centre data fusion: A mini-review, two showcases and beyond	INFORMATION FUSION				Article									[Yang, Guang] Imperial Coll London, Natl Heart & Lung Inst, London, England; [Yang, Guang] Royal Brompton Hosp, London, England; [Yang, Guang] Imperial Inst Adv Technol, Hangzhou, Peoples R China; [Ye, Qinghao] Hangzhou Oceans Smart Boya Co Ltd, Hangzhou, Peoples R China; [Ye, Qinghao] Univ Calif San Diego, La Jolla, CA 92093 USA; [Xia, Jun] Shenzhen Second Peoples Hosp, Radiol Dept, Shenzhen, Peoples R China		Yang, G (通讯作者)，Imperial Coll London, Natl Heart & Lung Inst, London, England.; Yang, G (通讯作者)，Royal Brompton Hosp, London, England.; Yang, G (通讯作者)，Imperial Inst Adv Technol, Hangzhou, Peoples R China.; Xia, J (通讯作者)，Shenzhen Second Peoples Hosp, Radiol Dept, Shenzhen, Peoples R China.	g.yang@imperial.ac.uk; q7ye@ucsd.edu; xiajun@email.szu.edu.cn								69	69											JAN	2022	77						29	52		10.1016/j.inffus.2021.07.016	http://dx.doi.org/10.1016/j.inffus.2021.07.016		AUG 2021											
J	Khan, AA; Rehmani, MH; Reisslein, M				Khan, Athar Ali; Rehmani, Mubashir Husain; Reisslein, Martin			Cognitive Radio for Smart Grids: Survey of Architectures, Spectrum Sensing Mechanisms, and Networking Protocols	IEEE COMMUNICATIONS SURVEYS AND TUTORIALS				Article									[Khan, Athar Ali; Rehmani, Mubashir Husain] COMSATS Inst Informat Technol, Islamabad 45550, Pakistan; [Reisslein, Martin] Arizona State Univ, Sch Elect Comp & Energy Engn, Tempe, AZ 85287 USA		Rehmani, MH (通讯作者)，COMSATS Inst Informat Technol, Islamabad 45550, Pakistan.; Reisslein, M (通讯作者)，Arizona State Univ, Sch Elect Comp & Energy Engn, Tempe, AZ 85287 USA.	mshrehmani@gmail.com; reisslein@asu.edu								232	236												2016	18	1					860	898		10.1109/COMST.2015.2481722	http://dx.doi.org/10.1109/COMST.2015.2481722													
J	Lee, H; Jung, TH; Dieck, MCT; Chung, N				Lee, Hyunae; Jung, Timothy Hyungsoo; Dieck, M. Claudia Tom; Chung, Namho			Experiencing immersive virtual reality in museums	INFORMATION & MANAGEMENT				Article									[Lee, Hyunae] Kyung Hee Univ, Smart Tourism Res Ctr, Seoul, South Korea; [Jung, Timothy Hyungsoo; Dieck, M. Claudia Tom] Manchester Metropolitan Univ, Fac Business & Law, Manchester, Lancs, England; [Chung, Namho] Kyung Hee Univ, Coll Hotel & Tourism Management, Seoul, South Korea		Dieck, MCT (通讯作者)，Manchester Metropolitan Univ, Fac Business & Law, Manchester, Lancs, England.	c.tom-dieck@mmu.ac.uk								66	67											JUL	2020	57	5							103229	10.1016/j.im.2019.103229	http://dx.doi.org/10.1016/j.im.2019.103229													
J	Harris, NC; Carolan, J; Bunandar, D; Prabhu, M; Hochberg, M; Baehr-Jones, T; Fanto, ML; Smith, AM; Tison, CC; Alsing, PM; Englund, D				Harris, Nicholas C.; Carolan, Jacques; Bunandar, Darius; Prabhu, Mihika; Hochberg, Michael; Baehr-Jones, Tom; Fanto, Michael L.; Smith, A. Matthew; Tison, Christopher C.; Alsing, Paul M.; Englund, Dirk			Linear programmable nanophotonic processors	OPTICA				Review									[Harris, Nicholas C.] Lightmatter, 61 Chatham St 5th Floor, Boston, MA 02109 USA; [Carolan, Jacques; Bunandar, Darius; Prabhu, Mihika; Englund, Dirk] MIT, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Hochberg, Michael; Baehr-Jones, Tom] Elenion Technol, New York, NY 10016 USA; [Fanto, Michael L.; Smith, A. Matthew; Tison, Christopher C.; Alsing, Paul M.] Air Force Res Lab, Informat Directorate, 525 Brooks Rd, Rome, NY 13441 USA		Englund, D (通讯作者)，MIT, 77 Massachusetts Ave, Cambridge, MA 02139 USA.	englund@mit.edu								147	154											DEC 20	2018	5	12					1623	1631		10.1364/OPTICA.5.001623	http://dx.doi.org/10.1364/OPTICA.5.001623													
J	Niebel, T				Niebel, Thomas			ICT and economic growth - Comparing developing, emerging and developed countries	WORLD DEVELOPMENT				Article									[Niebel, Thomas] Ctr European Econ Res ZEW Mannheim, POB 10 34 43, D-68034 Mannheim, Germany		Niebel, T (通讯作者)，Ctr European Econ Res ZEW Mannheim, POB 10 34 43, D-68034 Mannheim, Germany.	niebel@zew.de								204	216											APR	2018	104						197	211		10.1016/j.worlddev.2017.11.024	http://dx.doi.org/10.1016/j.worlddev.2017.11.024													
J	Chen, J; Wan, L; Zhu, JR; Xu, G; Deng, M				Chen, Jie; Wan, Li; Zhu, Jingru; Xu, Gang; Deng, Min			Multi-Scale Spatial and Channel-wise Attention for Improving Object Detection in Remote Sensing Imagery	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS				Article									[Chen, Jie; Wan, Li; Zhu, Jingru; Deng, Min] Cent South Univ, Sch Geosci & Infophys, Changsha 410000, Peoples R China; [Xu, Gang] Explorat & Survey Inst, Wenzhou 325000, Peoples R China		Deng, M (通讯作者)，Cent South Univ, Sch Geosci & Infophys, Changsha 410000, Peoples R China.	dengmin@csu.edu.cn								53	53											APR	2020	17	4					681	685		10.1109/LGRS.2019.2930462	http://dx.doi.org/10.1109/LGRS.2019.2930462													
J	Chen, L; Msigwa, G; Yang, MY; Osman, AI; Fawzy, S; Rooney, DW; Yap, PS				Chen, Lin; Msigwa, Goodluck; Yang, Mingyu; Osman, Ahmed I.; Fawzy, Samer; Rooney, David W.; Yap, Pow-Seng			Strategies to achieve a carbon neutral society: a review	ENVIRONMENTAL CHEMISTRY LETTERS				Review									[Chen, Lin; Msigwa, Goodluck; Yang, Mingyu; Yap, Pow-Seng] Xian Jiaotong Liverpool Univ, Civil Engn, Suzhou 215123, Peoples R China; [Osman, Ahmed I.; Fawzy, Samer; Rooney, David W.] Queens Univ Belfast, Sch Chem & Chem Engn, David Keir Bldg,Stranmillis Rd, Belfast BT9 5AG, Antrim, North Ireland		Yap, PS (通讯作者)，Xian Jiaotong Liverpool Univ, Civil Engn, Suzhou 215123, Peoples R China.; Osman, AI (通讯作者)，Queens Univ Belfast, Sch Chem & Chem Engn, David Keir Bldg,Stranmillis Rd, Belfast BT9 5AG, Antrim, North Ireland.	aosmanahmed01@qub.ac.uk; PowSeng.Yap@xjtlu.edu.cn								36	36											AUG	2022	20	4					2277	2310		10.1007/s10311-022-01435-8	http://dx.doi.org/10.1007/s10311-022-01435-8		APR 2022											
J	Du, J; Vong, CM; Chen, CLP				Du, Jie; Vong, Chi-Man; Chen, C. L. Philip			Novel Efficient RNN and LSTM-Like Architectures: Recurrent and Gated Broad Learning Systems and Their Applications for Text Classification	IEEE TRANSACTIONS ON CYBERNETICS				Article									[Du, Jie] Shenzhen Univ, Sch Biomed Engn,Hlth Sci Ctr, Natl Reg Key Technol Engn Lab Med Ultrasound, Guangdong Key Lab Biomed Measurements & Ultrasoun, Shenzhen 518060, Peoples R China; [Vong, Chi-Man] Univ Macau, Dept Comp & Informat Sci, Macau, Peoples R China; [Chen, C. L. Philip] South China Univ Technol, Sch Comp Sci & Engn, Guangzhou 510641, Peoples R China; [Chen, C. L. Philip] Univ Macau, Fac Sci & Technol, Macau, Peoples R China		Vong, CM (通讯作者)，Univ Macau, Dept Comp & Informat Sci, Macau, Peoples R China.	dujie@szu.edu.cn; cmvong@umac.mo; philip.chen@ieee.org								46	48											MAR	2021	51	3					1586	1597		10.1109/TCYB.2020.2969705	http://dx.doi.org/10.1109/TCYB.2020.2969705													
J	Adeleye, AS; Conway, JR; Garner, K; Huang, YX; Su, YM; Keller, AA				Adeleye, Adeyemi S.; Conway, Jon R.; Garner, Kendra; Huang, Yuxiong; Su, Yiming; Keller, Arturo A.			Engineered nanomaterials for water treatment and remediation: Costs, benefits, and applicability	CHEMICAL ENGINEERING JOURNAL				Review									[Keller, Arturo A.] Univ Calif Santa Barbara, Bren Sch Environm Sci & Management, Santa Barbara, CA 93106 USA; Univ Calif Santa Barbara, Univ Calif Ctr Environm Implicat Nanotechnol, Santa Barbara, CA 93106 USA		Keller, AA (通讯作者)，Univ Calif Santa Barbara, Bren Sch Environm Sci & Management, Santa Barbara, CA 93106 USA.	keller@bren.ucsb.edu								373	380											FEB 15	2016	286						640	662		10.1016/j.cej.2015.10.105	http://dx.doi.org/10.1016/j.cej.2015.10.105													
J	Wang, YX; Wu, KS; Ni, LM				Wang, Yuxi; Wu, Kaishun; Ni, Lionel M.			WiFall: Device-Free Fall Detection by Wireless Networks	IEEE TRANSACTIONS ON MOBILE COMPUTING				Article									[Wang, Yuxi; Wu, Kaishun] Shenzhen Univ, Coll Comp Sci & Software Engn, Shenzhen, Peoples R China; [Wang, Yuxi; Wu, Kaishun] Hong Kong Univ Sci & Technol, CSE Dept, Kowloon, Hong Kong, Peoples R China; [Ni, Lionel M.] Univ Macau, Dept Comp & Informat Sci, Taipa, Macau, Peoples R China		Wang, YX (通讯作者)，Shenzhen Univ, Coll Comp Sci & Software Engn, Shenzhen, Peoples R China.; Wang, YX (通讯作者)，Hong Kong Univ Sci & Technol, CSE Dept, Kowloon, Hong Kong, Peoples R China.	ywangav@cse.ust.hk; wu@szu.edu.cn; ni@umac.mo								360	365											FEB 1	2017	16	2					581	594		10.1109/TMC.2016.2557792	http://dx.doi.org/10.1109/TMC.2016.2557792													
J	Aharonovich, I; Englund, D; Toth, M				Aharonovich, Igor; Englund, Dirk; Toth, Milos			Solid-state single-photon emitters	NATURE PHOTONICS				Review									[Aharonovich, Igor; Toth, Milos] Univ Technol Sydney, Sch Math & Phys Sci, Ultimo, NSW 2007, Australia; [Aharonovich, Igor; Toth, Milos] Univ Technol Sydney, Fac Sci, IBMD, Ultimo, NSW 2007, Australia; [Englund, Dirk] MIT, Dept Elect Engn & Comp Sci, Cambridge, MA 02139 USA		Aharonovich, I (通讯作者)，Univ Technol Sydney, Sch Math & Phys Sci, Ultimo, NSW 2007, Australia.; Aharonovich, I (通讯作者)，Univ Technol Sydney, Fac Sci, IBMD, Ultimo, NSW 2007, Australia.	igor.aharonovich@uts.edu.au								850	860											OCT	2016	10	10					631	641		10.1038/NPHOTON.2016.186	http://dx.doi.org/10.1038/NPHOTON.2016.186													
J	Wang, XK; Yang, LT; Song, LW; Wang, HH; Ren, L; Deen, J				Wang, Xiaokang; Yang, Laurence Tianruo; Song, Liwen; Wang, Huihui; Ren, Lei; Deen, Jamal			A Tensor-Based Multiattributes Visual Feature Recognition Method for Industrial Intelligence	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS				Article									[Wang, Xiaokang; Yang, Laurence Tianruo; Song, Liwen; Deen, Jamal] Univ Elect Sci & Technol China, Sch Informat & Commun Engn, Chengdu 611731, Peoples R China; [Wang, Xiaokang; Yang, Laurence Tianruo] St Francis Xavier Univ, Dept Comp Sci, Antigonish, NS B2G 2W5, Canada; [Wang, Huihui] Jacksonville Univ, Dept Engn, Jacksonville, FL 32211 USA; [Ren, Lei] Beihang Univ, Sch Automat Sci & Elect Engn, Beijing 100191, Peoples R China; [Deen, Jamal] McMaster Univ, Dept Elect & Comp Engn, Hamilton, ON L8S 4K1, Canada		Yang, LT (通讯作者)，Univ Elect Sci & Technol China, Sch Informat & Commun Engn, Chengdu 611731, Peoples R China.; Yang, LT (通讯作者)，St Francis Xavier Univ, Dept Comp Sci, Antigonish, NS B2G 2W5, Canada.	xkwang@stfx.ca; Ityang@gmail.com; lwsong611@163.com; hwang1@ju.edu; renlei@buaa.edu.cn; jamal@mcmaster.ca								97	99											MAR	2021	17	3					2231	2241		10.1109/TII.2020.2999901	http://dx.doi.org/10.1109/TII.2020.2999901													
